id,user_id,in_out,punch_time
1,20304885,in,2024-03-12 23:03:07.068796
2,VndK4JUQJTMXHuY,in,2024-03-12 23:03:31.703846
3,poW0XOjBvwM7GQk,in,2024-03-12 23:03:42.460505
4,20304885,in,2024-03-12 23:07:15.166017
5,20304885,out,2024-03-12 23:14:05.280751
6,UU0kOuNb159vmrc,out,2024-03-12 23:22:08.299986
7,IZECofnKYlj0LN1,out,2024-03-12 23:35:19.143435
8,poW0XOjBvwM7GQk,out,2024-03-12 23:58:15.030603
9,HDwYfNlJmtan,out,2024-03-13 00:12:46.991347
10,VndK4JUQJTMXHuY,out,2024-03-13 00:33:00.76077
11,lySvEIkANlvgJr6,in,2024-03-13 12:53:29.595003
12,UU0kOuNb159vmrc,in,2024-03-13 12:58:25.941493
13,poW0XOjBvwM7GQk,in,2024-03-13 13:41:27.501305
14,HDwYfNlJmtan,in,2024-03-13 13:44:57.032402
15,20304885,in,2024-03-13 14:07:41.432568
16,IZECofnKYlj0LN1,in,2024-03-13 14:14:17.791096
17,VndK4JUQJTMXHuY,in,2024-03-13 14:46:53.313756
18,20304885,out,2024-03-13 23:03:54.382111
19,IZECofnKYlj0LN1,out,2024-03-13 23:38:53.031941
20,poW0XOjBvwM7GQk,out,2024-03-13 23:39:23.519849
21,HDwYfNlJmtan,out,2024-03-14 00:19:37.554184
22,20044862,out,2024-03-14 00:28:37.31209
23,poW0XOjBvwM7GQk,in,2024-03-14 14:03:14.128657
24,20304885,in,2024-03-14 14:03:24.976964
25,VndK4JUQJTMXHuY,in,2024-03-14 14:55:19.858378
26,20304885,out,2024-03-14 22:38:18.93099
27,poW0XOjBvwM7GQk,out,2024-03-14 23:45:13.81648
28,HDwYfNlJmtan,out,2024-03-14 23:46:45.458152
29,IZECofnKYlj0LN1,out,2024-03-14 23:52:07.248476
30,VndK4JUQJTMXHuY,out,2024-03-14 23:52:15.09868
31,lySvEIkANlvgJr6,in,2024-03-15 12:48:33.595075
32,20304885,in,2024-03-15 13:26:24.030862
33,HDwYfNlJmtan,in,2024-03-15 14:05:06.638824
34,poW0XOjBvwM7GQk,in,2024-03-15 14:05:35.498297
35,VndK4JUQJTMXHuY,in,2024-03-15 14:50:51.690988
36,VndK4JUQJTMXHuY,out,2024-03-15 18:27:11.516161
37,20823321,in,2024-03-15 19:27:58.862518
38,20304885,in,2024-03-15 19:37:37.722822
39,20304885,in,2024-03-15 19:39:16.989348
40,20304885,in,2024-03-15 19:51:08.318755
41,poW0XOjBvwM7GQk,out,2024-03-15 22:21:27.6545
42,20304885,out,2024-03-15 22:29:00.165001
43,HDwYfNlJmtan,out,2024-03-15 23:30:18.837205
44,VndK4JUQJTMXHuY,out,2024-03-15 23:55:10.593976
45,lySvEIkANlvgJr6,in,2024-03-16 20:44:08.650916
46,lySvEIkANlvgJr6,out,2024-03-18 12:40:52.12847
47,lySvEIkANlvgJr6,in,2024-03-18 12:41:04.439645
48,20304885,in,2024-03-18 13:49:33.333276
49,104335609,in,2024-03-18 13:50:12.186083
50,poW0XOjBvwM7GQk,in,2024-03-18 13:51:28.38368
51,HDwYfNlJmtan,in,2024-03-18 14:02:28.809395
52,VndK4JUQJTMXHuY,in,2024-03-18 15:02:46.740361
53,104335609,out,2024-03-18 17:00:58.191648
54,poW0XOjBvwM7GQk,out,2024-03-18 18:02:33.225305
55,poW0XOjBvwM7GQk,in,2024-03-18 18:59:10.011362
56,HDwYfNlJmtan,out,2024-03-18 22:58:55.456478
57,UU0kOuNb159vmrc,out,2024-03-18 23:15:46.505935
58,20304885,out,2024-03-18 23:18:08.390933
59,poW0XOjBvwM7GQk,out,2024-03-18 23:25:08.559602
60,VndK4JUQJTMXHuY,out,2024-03-19 00:37:34.544468
61,UU0kOuNb159vmrc,in,2024-03-19 12:38:04.304712
62,UU0kOuNb159vmrc,in,2024-03-19 12:38:15.591891
63,UU0kOuNb159vmrc,in,2024-03-19 12:38:23.080946
64,lySvEIkANlvgJr6,out,2024-03-19 12:44:41.970492
65,lySvEIkANlvgJr6,in,2024-03-19 12:44:49.327023
66,20304885,in,2024-03-19 13:19:18.349458
67,20304882,in,2024-03-19 13:21:52.660401
68,poW0XOjBvwM7GQk,in,2024-03-19 13:49:24.829108
69,104335679,in,2024-03-19 13:50:19.584851
70,HDwYfNlJmtan,in,2024-03-19 13:53:00.543444
71,104335609,in,2024-03-19 13:54:55.505597
72,20044862,in,2024-03-19 13:56:04.782103
73,VndK4JUQJTMXHuY,in,2024-03-19 14:45:22.340454
74,104335603,in,2024-03-19 14:46:12.354308
75,IZECofnKYlj0LN1,in,2024-03-19 14:48:28.658713
76,IZECofnKYlj0LN1,in,2024-03-19 14:51:16.85234
77,20304885,in,2024-03-19 16:26:46.457705
78,20304885,out,2024-03-19 16:26:55.427013
79,20304885,in,2024-03-19 16:27:02.227132
80,HDwYfNlJmtan,out,2024-03-19 18:02:59.336249
81,104335679,out,2024-03-19 22:25:33.894619
82,104335603,out,2024-03-19 22:31:53.902413
83,UU0kOuNb159vmrc,out,2024-03-19 22:54:59.354973
84,20044862,out,2024-03-19 22:58:22.653095
85,HDwYfNlJmtan,out,2024-03-19 23:00:58.401415
86,poW0XOjBvwM7GQk,out,2024-03-19 23:04:28.080811
87,IZECofnKYlj0LN1,out,2024-03-19 23:04:44.542681
88,20304885,out,2024-03-19 23:46:49.740833
89,VndK4JUQJTMXHuY,out,2024-03-20 00:06:45.526906
90,lySvEIkANlvgJr6,out,2024-03-20 12:52:46.450748
91,lySvEIkANlvgJr6,in,2024-03-20 12:52:54.210353
92,104335679,in,2024-03-20 13:30:06.500526
93,104335609,in,2024-03-20 13:44:43.132747
94,poW0XOjBvwM7GQk,in,2024-03-20 13:47:50.265607
95,HDwYfNlJmtan,in,2024-03-20 13:57:54.421282
96,IZECofnKYlj0LN1,in,2024-03-20 14:10:25.377338
97,20304885,in,2024-03-20 14:23:05.696787
98,20304861,in,2024-03-20 14:36:49.397886
99,VndK4JUQJTMXHuY,in,2024-03-20 14:51:27.671705
100,HDwYfNlJmtan,out,2024-03-20 18:23:23.764292
101,HDwYfNlJmtan,in,2024-03-20 18:47:49.391139
102,VndK4JUQJTMXHuY,out,2024-03-20 19:32:35.261098
103,VndK4JUQJTMXHuY,in,2024-03-20 20:03:24.237756
104,10019087,in,2024-03-20 20:37:04.855774
105,104335679,out,2024-03-20 22:10:00.083199
106,UU0kOuNb159vmrc,out,2024-03-20 22:18:04.265863
107,10019087,out,2024-03-20 22:32:01.789092
108,104335603,out,2024-03-20 22:32:09.627438
109,IZECofnKYlj0LN1,out,2024-03-20 23:11:57.681898
110,poW0XOjBvwM7GQk,out,2024-03-20 23:13:40.143332
111,20304885,out,2024-03-20 23:28:57.626906
112,VndK4JUQJTMXHuY,out,2024-03-21 00:13:32.64549
113,20304885,in,2024-03-21 13:13:22.718217
114,UU0kOuNb159vmrc,in,2024-03-21 13:13:57.277488
115,104335609,in,2024-03-21 13:33:58.140738
116,104335679,in,2024-03-21 13:42:28.14972
117,poW0XOjBvwM7GQk,in,2024-03-21 13:44:55.609851
118,10019087,in,2024-03-21 13:55:50.455391
